17,C=CCC(=CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CCCC)[C@H](O)[C@H](CC)[C@H](O)C(O)C(=O)C(=C[C@H](C(C)C)[C@H](O)CC)OC)C(C)C)[C@@H](O)[C@H](C(=O)[C@H](C)C(=O)O)C(C)C
18,C=CCC(=CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](O)C(=O)[C@@H](OC)C(=O)CNC(N)=[NH2+])CC)C(=O)[C@H](OC)C(=O)[C@H](C(=O)[C@H](CCCC)C(=O)[C@H](C=C(OC)C(=O)O)OC)C(C)C
19,C=CCC(=CC(=CC(O)=C[C@H](CC=C)[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)C[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CCCCCC)[C@H](O)[C@H](CC=C)[C@H](O)C(O)=CC)CCCCCC)C(=O)O
20,C=CCC(=CC(=CC(O)=C[C@H](CCCC)C(=O)CC(=O)c1ccc([N+](=O)[O-])cc1)CC)CCC(=O)[C@H](CC=C)[C@@H](O)[C@@H](O)C(=O)[C@@H](C=C(CCCC)C(=O)O)CC
21,C=CCC(=CC(=CC(O)C(=O)[C@@H](CC)C(=O)[C@@H](CCCCCC)C(=O)[C@@H](CCCC)C(=O)[C@H](OC)C(=O)[C@@H](C)C(=O)C(O)=CCCCOC)CCCCCC)C(=O)O
22,C=CCC(=CC(=CC(O)C(=O)c1csc(C)n1)C(C)C)C(=O)[C@@H](CCCC)C(=O)[C@@H](C[C@H](CC)[C@@H](O)[C@H](C[C@H](C)C(=O)[C@@H](C(C)C)[C@H]1OC(=O)[C@@H]1CC=C)OC)C(C)C
23,C=CCC(=CC(=CC1=CCCC1=O)CCCCCC)C(=O)[C@H](CCCC)C[C@H](CC=C)[C@H]1OC(=O)[C@H](C)C(=O)[C@H](O)C(=O)[C@H](C(C)C)[C@H](O)C(CCCC)=C[C@@H]1OC
24,C=CCC(=CC(=CC1=CC[C@@H](O)[C@H](O)C1)CCCCCC)C(=O)[C@@H](O)[C@@H](O)C[C@@H](O)[C@@H](CC)C(=O)[C@H](CCCC)[C@@H](O)[C@@H](CCCCCC)C[C@H](CC)C(=O)[C@@H](CCCCCC)[C@@H](O)[C@@H](CCCCCC)C(=O)O
25,C=CCC(=CC(=CC1CCCCC1)CCCCCC)C(=O)[C@@H](C)C(=O)[C@@H](CC=C)C(=O)[C@H](CCCCCC)C(=O)[C@H](CC)[C@@H](O)[C@@H](CC)[C@@H](O)CC(=O)C(O)C(=O)O
26,C=CCC(=CC(=CC1CCCCC1)OC)C[C@H](CC=C)C(=O)[C@@H](CC)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](C(=O)[C@@H](C)C=C(CCCC)C(=O)O)C(C)C
27,C=CCC(=CC(=CC=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C1CCCCC1)C(C)C)[C@@H](O)[C@@H](OC)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](C(C)C)[C@@H](O)[C@H](C[C@H](CC)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)OC
28,C=CCC(=CC(=CC=CC(CCCCc1c[nH]c(Cl)c1Cl)C(C)=O)CCCCCC)C=C(CCCCc1c[nH]c(Cl)c1Cl)CCC(=O)[C@@H](C=C(OC)C(=O)[C@H](OC)C(=O)[C@@H](CC)C(=O)O)CC=C
29,C=CCC(=CC(=CC=C[C@@H](C(=O)[C@@H](CC=C)C[C@H](CCCC)[C@H](O)[C@@H](CC)C(=O)[C@@H](C)CNC(=O)[C@H](C)N)C(C)C)C(C)C)C(=O)[C@H](C=C(C[C@H](CCCCCC)C(=O)O)C(C)C)CCCCCC
30,C=CCC(=CC(=CC=C[C@@H](CCCCCC)C[C@@H](C)C(=O)c1ccccc1)CC)C(=O)[C@H](CC=C)[C@@H](O)[C@@H](CCCC)C[C@H](O)C(=O)[C@@H](C=C(O)C(=O)O)CC
31,C=CCC(=CC(=CC=Cc1ccccc1)C(C)C)C(=O)[C@@H](C=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](CC)[C@@H](O)[C@@H](C)C=C(O)[C@@H](O)[C@H](C=C(CCCC)[C@@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)C(C)C)CCCC
32,C=CCC(=CC(=CCC(=O)[C@@H](C)C(=O)[C@@H](OC)C(=O)COC)CCCC)C(=O)[C@@H](C=C(CC)C[C@H](OC)[C@@H](O)[C@@H](C)C=CC(=O)O)CCCCCC
33,C=CCC(=CC(=CCC)C(C)C)C(=O)[C@H](C(=O)[C@H]1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)C[C@@H](CCCCCC)C(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)C(=O)[C@@H](OC)C(=O)[C@@H](C(C)C)C1=O)C(C)C
34,C=CCC(=CC(=CCCC)C(C)C)C[C@H](C(C)C)[C@@H](O)[C@@H](CC=C)C[C@H](O)C[C@H](O)C(=O)[C@H](CC)[C@@H](O)[C@@H](CC)C(=O)[C@@H](C(=O)[C@H](OC)C(=O)O)C(C)C
35,C=CCC(=CC(=CCC[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CC=C)[C@H](O)[C@H](OC)C(=O)[C@@H](C(=O)[C@H](C(C)C)[C@H](O)[C@@H](CCCCCC)C[C@H](CCC)CCCCc1c[nH]c(Cl)c1Cl)C(C)C)CCCCCC)C(=O)O
36,C=CCC(=CC(=CCC[C@H](C[C@@H](CCCC)C[C@H](O)C(=O)C(=C[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C[C@H](CC=C)[C@H](O)[C@@H]1CCC[C@H]1C(=O)O)CCCCc1c[nH]c(Cl)c1Cl)C(C)C)C(C)C)C(=O)O
37,C=CCC(=CC(=CCOC)CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)CC=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C[C@@H](O)[C@H](C=C(C)C(=O)C(O)C(=O)C1OC1=O)CC=C
38,C=CCC(=CC(=CC[C@H](O)C(=CCc1ccccc1)OC)CCCC)C=C(CC=C)C(=O)C(O)C(=O)C[C@@H](O)[C@@H](CCCC)C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C1OC1=O
39,C=CCC(=CC(=CC[C@H](O)[C@@H](O)C[C@@H](C(=O)[C@@H](CC)CC(=C[C@H](CC=C)C(=O)C=Cc1cc(N)cc(O)c1)CCCCCC)C(C)C)CC)[C@@H](O)[C@@H](CC)C(=O)O
40,C=CCC(=CC(=CC[C@H](O)[C@H](CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CC)[C@H](O)[C@H](CC=C)[C@H](O)c1ccc([N+](=O)[O-])cc1)CCCC)C(C)C)CCCC)C(=O)C1OC1=O
41,C=CCC(=CC(=C[C@@H](C(=O)C(=CC1=CCCC1=O)CC)C(C)C)OC)C=C(CC=C)C(=O)[C@H](C=C(CC=C)C(=O)[C@H](C(=O)[C@H](CCCC)C(=O)O)C(C)C)CCCCc1c[nH]c(Cl)c1Cl
42,C=CCC(=CC(=C[C@@H](C(=O)C(O)C(=O)C(=C[C@@H](CC=C)C(=O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(C)=O)C(C)C)C(C)C)CC)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)C(O)C(=O)O
43,C=CCC(=CC(=C[C@@H](C(=O)CCC)C(C)C)C(C)C)C(=O)C[C@@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](CCCCCC)C(=O)[C@@H](CCCC)[C@@H](O)[C@@H](CC=C)C(=O)C1OC1=O
44,C=CCC(=CC(=C[C@@H](C(=O)CNC(N)=[NH2+])C(C)C)CCCCc1c[nH]c(Cl)c1Cl)C=C(C(=O)[C@@H](C)CCC(=O)[C@H](C(=O)O)C(C)C)C(C)C
45,C=CCC(=CC(=C[C@@H](C(=O)[C@@H](C)C[C@@H](CC=C)C[C@H](CC)[C@H](O)C(C)C)C(C)C)CC)C[C@H](OC)C(=O)[C@H](C(C)C)[C@@H](O)[C@@H](CC=C)C[C@H](C)C(=O)O
46,C=CCC(=CC(=C[C@@H](C(=O)[C@@H](OC)C(=O)[C@@H](C(=O)CC)C(C)C)C(C)C)CC)C(=O)[C@H](C=CC(=O)CC(=O)[C@@H](CCCC)C(=O)O)OC
47,C=CCC(=CC(=C[C@@H](C(=O)[C@H](CCCCCC)[C@H](O)[C@H](OC)C(=O)C1=CCCC1=O)C(C)C)C(C)C)C=C(CCCC)C[C@H](CCCC)C[C@H](C)[C@@H](O)CC[C@H](CCCC)C(=O)O
48,C=CCC(=CC(=C[C@@H](C(=O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)C[C@H](O)CNC(N)=[NH2+])C(C)C)C(C)C)C[C@H](CC)[C@@H](O)[C@H](C[C@@H](C=C(C)C(=O)[C@@H](CCCCCC)C(=O)O)CCCCc1c[nH]c(Cl)c1Cl)OC
49,C=CCC(=CC(=C[C@@H](C(=O)c1cc(N)cc(O)c1)C(C)C)CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@H](C[C@H](O)C=C(CCCC)[C@@H](O)[C@H](C(=O)[C@@H](C=C(O)C(=O)O)CCCC)C(C)C)C(C)C
50,C=CCC(=CC(=C[C@@H](C)C(=O)CC(C)C)CCCCc1c[nH]c(Cl)c1Cl)C[C@H](C)[C@@H](O)[C@@H](C)C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C[C@H](C)C[C@@H](C[C@H](CC)C(=O)O)C(C)C
51,C=CCC(=CC(=C[C@@H](C)C(=O)[C@@H](O)C[C@@H](CC)C[C@@H](C(=O)C(C)=C[C@@H](CCCCCC)C[C@@H](CCCC)C[C@H](OC)C(=O)C1=CC[C@@H](O)[C@H](O)C1)C(C)C)C(C)C)C(=O)O
52,C=CCC(=CC(=C[C@@H](C)C(=O)[C@H](O)C(=O)[C@@H](CC)C[C@@H](C(=O)[C@H](C[C@@H](CC)C(=O)[C@H](CC=C)[C@H](O)[C@H](CCCCCC)[C@H](O)CNC(N)=[NH2+])OC)C(C)C)CCCC)C(=O)O
53,C=CCC(=CC(=C[C@@H](C)CNC(=O)[C@H](C)N)CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](C=C(CC)C[C@H](OC)[C@@H](O)[C@@H](O)C=C(C)C=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](CC=C)C(=O)[C@H](CCCC)C(=O)O)CC
54,C=CCC(=CC(=C[C@@H](C)C[C@@H](C)CNC(=O)[C@H](C)N)C(C)C)CCC[C@H](CCCC)C[C@H](OC)C(=O)[C@H](C=CC=C(CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@H]1OC1=O)C(C)C
55,C=CCC(=CC(=C[C@@H](C)C[C@H](CCCCCC)C(=O)[C@@H](CCCCCC)C(=O)[C@@H](CC=C)Cc1ccccc1)CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H]1OC(=O)[C@@H](C)C(=O)[C@H](C(C)C)C1=O
56,C=CCC(=CC(=C[C@@H](CC)C(=O)C(=C[C@H](C(C)C)[C@H](O)c1ccc(N)cc1)CC)CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](CC)C(=O)CC=C(C)[C@@H](O)[C@@H](C)C(=O)C(O)C(=O)O
57,C=CCC(=CC(=C[C@@H](CC)C(=O)COC)OC)[C@@H](O)[C@@H](C)C[C@H](C(C)C)[C@@H](O)[C@H](C(=O)[C@@H](O)C[C@@H](C=C(CC)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)CC=C)C(C)C
58,C=CCC(=CC(=C[C@@H](CC)C(=O)[C@@H](CC)C(N)=O)CCCCCC)C[C@H](C)C(=O)[C@H](OC)C(=O)[C@@H](C=C(C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](C=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)CC=C)C(C)C)CCCC
59,C=CCC(=CC(=C[C@@H](CC)C(=O)[C@H](C(C)C)[C@H](O)[C@@H](CCCC)C(=O)CC[C@H](OC)C(=O)C=Cc1ccccc1)CC)C=C(OC)C(=O)O
60,C=CCC(=CC(=C[C@@H](CC)C(N)=O)CC)C=C(CCCC)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](C=C(C=C(OC)C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C(O)C[C@H](C)C(=O)O)C(C)C)C(C)C
61,C=CCC(=CC(=C[C@@H](CC)CC(=C[C@@H]1CCC[C@H]1C(=O)O)OC)CC)[C@@H](O)[C@@H](CC)C[C@H](C)C(=O)[C@@H](C(C)C)[C@@H](O)[C@@H](C)CCC[C@H](C)C(=O)O
62,C=CCC(=CC(=C[C@@H](CC)CC=C[C@@H](OC)C(=O)C=C[C@@H](OC)C(=O)[C@@H](CCCC)C[C@@H](CC)Cc1ccc[nH]1)C(C)C)C(=O)[C@@H](CC=C)C(=O)O
63,C=CCC(=CC(=C[C@@H](CC)C[C@@H](CC)C(N)=O)CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@H](C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CCCCCC)C[C@H](CC)C(=O)[C@H](CCCCCC)C[C@H](CC)C[C@H](CCCCCC)C(=O)O)C(C)C
64,C=CCC(=CC(=C[C@@H](CC=C)C(=O)C(=C[C@H](C[C@H](C(C)C)[C@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)CC(=CCOC)CCCCc1c[nH]c(Cl)c1Cl)OC)CCCCCC)OC)C=C(C[C@H](CC=C)C(=O)O)C(C)C
65,C=CCC(=CC(=C[C@@H](CC=C)C(=O)[C@H](OC)[C@H](O)[C@H](Cc1ccc[nH]1)C(C)C)C(C)C)[C@@H](O)[C@@H](CC=C)[C@@H](O)[C@@H](CCCCCC)C(=O)[C@H](OC)C(=O)O
66,C=CCC(=CC(=C[C@@H](CC=C)C[C@@H](C)C[C@H](O)[C@H](O)C(=C[C@@H]1CCC[C@H]1C(=O)O)CCCCCC)CCCC)[C@@H](O)[C@H](C=C(C=C(C)C(=O)O)C(C)C)C(C)C
67,C=CCC(=CC(=C[C@@H](CCCC)CCNC(N)=[NH2+])CCCC)[C@@H](O)[C@@H](C(C)C)[C@@H](O)[C@H](C=C(C)C=C(CCCC)[C@@H](O)[C@@H](CCCCCC)C(=O)[C@@H](CC)C(=O)[C@@H](CCCCCC)C(=O)O)CC
68,C=CCC(=CC(=C[C@@H](CCCC)C[C@H](CCCC)[C@H](O)c1ccc([N+](=O)[O-])cc1)CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](C[C@H](OC)C(=O)[C@H](CC)C(=O)[C@@H](C[C@H](CCCC)C(=O)O)C(C)C)C(C)C
69,C=CCC(=CC(=C[C@@H](CCCCCC)C(=O)[C@@H](CC)C(=O)C(C)C)CCCCCC)C=C(C)C(=O)[C@H](C=C(CCCC)[C@@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](C)[C@@H](O)[C@H](C(=O)O)C(C)C)C(C)C
70,C=CCC(=CC(=C[C@@H](CCCCCC)C(=O)[C@@H](CC)C(N)=O)OC)C(=O)[C@H](C[C@H](CC)[C@@H](O)[C@@H](CCCCCC)C(=O)[C@H](CCCC)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](OC)C(=O)O)C(C)C
71,C=CCC(=CC(=C[C@@H](CCCCCC)C(=O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CC)C(=O)[C@@H](CCCCCC)C(=O)[C@@H](C)CNC(=O)[C@H](C)N)OC)C[C@@H](C=C(C(=O)O)C(C)C)CCCCCC
72,C=CCC(=CC(=C[C@@H](CCCCCC)C(=O)[C@H](C[C@H](C[C@@H](CC)CC(O)C(=O)C(C)=Cc1c[nH]c(Cl)c1Cl)C(C)C)OC)CCCCc1c[nH]c(Cl)c1Cl)C=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O
73,C=CCC(=CC(=C[C@@H](CCCCCC)CC(=C[C@@H](C)C(=O)[C@H](O)C(=O)[C@@H](C)CNC(=O)[C@H](C)N)CCCC)CCCC)C[C@@H](C=C(CC)C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C(O)C(=O)O)C(C)C
74,C=CCC(=CC(=C[C@@H](CCCCCC)CC(=C[C@H](C(C)C)[C@H](O)[C@@H](C)C[C@H](C)[C@@H](C)O)C(C)C)C(C)C)[C@@H](O)CC[C@H](O)C=C(C(=O)O)C(C)C
75,C=CCC(=CC(=C[C@@H](CCCCCC)CC1CCCCC1)CCCCc1c[nH]c(Cl)c1Cl)C=C(C=CC(=O)[C@H](CC=C)[C@H]1OC(=O)[C@@H](CCCC)C[C@H](C(C)C)[C@H](O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl)C(C)C
76,C=CCC(=CC(=C[C@@H](CCCCCC)C[C@@H](CC)C[C@H](CCCC)C(=O)[C@H](O)[C@H](O)[C@H](CC=C)[C@H](O)[C@@H](CC=C)C(=O)C1CC[C@@H](O)[C@H](O)C1)C(C)C)C(=O)[C@H](CCCC)C(=O)O
77,C=CCC(=CC(=C[C@@H](O)C[C@@H](O)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@H](O)[C@H](C)[C@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C[C@@H](C)CNC(=O)[C@H](C)N)CCCCc1c[nH]c(Cl)c1Cl)C[C@H](OC)C(=O)O
78,C=CCC(=CC(=C[C@@H]1CCC[C@H]1C(=O)O)CC)C=C(CCCCCC)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](CCCC)C(=O)[C@H](C)C[C@H](C)C=C(C(=O)[C@@H](OC)C(=O)[C@@H](OC)C(=O)O)C(C)C
79,C=CCC(=CC(=C[C@H](C(C)C)[C@H](O)C(O)=C[C@H](CCCC)C(=O)C1=CC[C@@H](O)[C@H](O)C1)CCCCCC)C(=O)[C@H](C(=O)[C@H](C=C(CCCC)C(=O)[C@@H](C(C)C)[C@@H](O)[C@@H](OC)C(=O)O)CCCC)C(C)C
80,C=CCC(=CC(=C[C@H](C(C)C)[C@H](O)[C@H](CC)C(=O)[C@@H](O)CC[C@H](O)[C@H](C)[C@H](O)[C@@H](CCCCCC)C[C@H](CCCCCC)[C@H](O)c1ccccc1)C(C)C)C(=O)O
81,C=CCC(=CC(=C[C@H](C(C)C)[C@H](O)[C@H](C[C@H](C(C)C)[C@H](O)[C@H](C(C)C)[C@H](O)C(=CC(O)=CCCC)CC=C)OC)OC)C(=O)[C@H](C(=O)[C@@H](C(=O)O)C(C)C)C(C)C
82,C=CCC(=CC(=C[C@H](C)C(=O)[C@H](CCCCCC)C(=O)[C@H](C(=O)[C@H](Cc1ccc(N)cc1)OC)C(C)C)C(C)C)C(=O)CC(=O)[C@@H](CCCCCC)C(=O)O
83,C=CCC(=CC(=C[C@H](C)C(=O)c1csc(C)n1)CCCCCC)C(=O)[C@@H](CC)C[C@H](OC)C(=O)[C@H](CC=C)C[C@H](C)CCC(=O)C(O)[C@@H]1CC(=O)O1
84,C=CCC(=CC(=C[C@H](C)[C@H](O)C(=C[C@@H](C(=O)[C@@H](CC)C(=O)C(O)C(=O)[C@@H](C)C[C@H](CC)C(=O)[C@@H](C)CNC(=O)[C@H](C)N)C(C)C)C(C)C)C(C)C)C(=O)O
85,C=CCC(=CC(=C[C@H](C)[C@H](O)C(=C[C@H](C[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C[C@H](CC)[C@H](O)[C@@H]1CCC[C@H]1C(=O)O)C(C)C)OC)CCCCCC)C[C@H](CCCC)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](OC)C(=O)O
86,C=CCC(=CC(=C[C@H](C)[C@H](O)CC[C@@H](CC)C(N)=O)C(C)C)C(=O)[C@H](C=C(CCCC)C[C@H](O)C[C@H](C)C(=O)[C@H](CCCC)C(=O)[C@H](C(=O)O)C(C)C)C(C)C
87,C=CCC(=CC(=C[C@H](C)[C@H](O)[C@@H](C(=O)[C@H](CC=C)[C@H](O)[C@@H](O)C[C@@H](OC)C(=O)C=C[C@@H](CC)C(N)=O)C(C)C)C(C)C)CCC[C@@H](C(=O)O)C(C)C
