CMP_name,Food_name,SMILES,FDB_ID,CID,Pred_medicinal
,Herbs_condiments_and_spices,CN1C2=C(C=CC=C2)C(=O)C2=C1C1=C(OC(=C1)C(C)=O)C=C2O,FDB001038,14380428,0.0
,Citrus_fruits,COC1=CC=CC2=C1N(C)C1=CC3=C(C=CC(C)(C)O3)C(O)=C1C2=O,FDB001039,11660079,0.0
,Root_vegetables,CC1CC(=O)OC2(C1)CC1CCC2CN1C,FDB001040,15931602,0.0
TRIDECANOIC-ACID,Black_elderberry,CCCCCCCCCCCCC(O)=O,FDB010409,12530,0.0
FARNESOL-ACETATE,Blueberry,CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C,FDB010417,94403,0.0
FENCHYL-ACETATE,Basil,CC(=O)OC1C2(C)CCC(C2)C1(C)C,FDB010420,107217,0.0
,Fungi,CCC(=O)OCC\\C=C\\C=C/C1=NC(C)C=CC=C1,FDB001043,131750914,0.0
,Coffee,OC(=O)C(CC1=CNC2=C1C=CC=C2)NC(=O)\\C=C\\C1=CC(O)=C(O)C=C1,FDB001045,10428959,0.0
(R)-(+)-Verbenone,Rosemary,CC1=CC(=O)C2CC1C2(C)C,FDB010452,29025,0.0
,Other_fruits,COC1=C(OC)C2=C(C=C1)C1=C(N(C)C2CC(O)=O)C2=CC3=C(OCO3)C=C2C=C1,FDB001047,13946324,0.0
,Brassicas_and_other_crucifers,OCC1OC(OC2=C(O)C=C3NC(CC3=C2)C(O)=O)C(O)C(O)C1O,FDB001048,74413859,0.0
,Other_fruits,CC1=NCCC2=C1NC1=C2C=CC=C1,FDB001049,160510,0.0
DIPHENYLAMINE,Lemon,N(C1=CC=CC=C1)C1=CC=CC=C1,FDB010494,11487,0.0
,Other_fruits,CC1NCCC2=C1NC1=C2C=CC(O)=C1,FDB001050,368982,0.0
,Tomatoes,CC(=O)C1=CC=CC=C1O,FDB010500,8375,0.0
Piceol,Orange,CC(=O)C1=CC=C(O)C=C1,FDB010503,7469,0.0
,Dairy_products,OC(=O)CNC(=O)C1=C(O)C=CC=C1,FDB010505,10253,0.0
3-Hydroxybenzoic_acid,American_cranberry,OC(=O)C1=CC=CC(O)=C1,FDB010507,7420,1.0
,Other_fruits,CN1CCC2=C(C1)NC1=C2C=CC=C1,FDB001051,121896,0.0
Methylparaben,Saffron,COC(=O)C1=CC=C(O)C=C1,FDB010509,7456,0.0
,Alcoholic_beverages,CCOC(=O)C1=CC=C(O)C=C1,FDB010510,8434,0.0
,Other_fruits,COC1=CC(=O)C=CC1=O,FDB010513,76146,0.0
,Brassicas_and_other_crucifers,NCC1=CC=C(O)C=C1,FDB010515,97472,0.0
,Herbs_condiments_and_spices,CC(C)C1=CC(O)=C(C=C1)C(C)C,FDB010516,93189,1.0
,Herbs_condiments_and_spices,OC1=CC=C(CN=C=S)C=C1,FDB010517,160611,0.0
